t,cpu_pct,perf_pct,mhz,tx_MBps,rx_MBps
141.94,10.22,182.38,1,696,1,845.4,1.8
142.95,8.51,180.30,1,696,1,834.4,1.8
143.96,8.24,186.15,1,696,1,824.4,1.8
144.98,10.94,180.11,1,696,1,831.1,1.8
145.99,7.43,183.65,1,696,1,837.1,1.8
146.99,10.62,185.35,1,696,1,844.7,1.8
148.01,8.26,185.52,1,696,1,833.2,1.8
149.01,6.84,184.58,1,696,1,792.5,1.8
150.03,6.66,183.97,1,696,1,834.3,1.8
151.04,10.21,180.64,1,696,1,901.5,1.9
152.06,9.04,177.85,1,696,1,871.5,1.9
153.07,9.63,182.69,1,696,1,879.2,1.9
154.08,11.71,184.61,1,696,1,877.1,1.9
155.08,7.93,184.80,1,696,1,769.1,1.8
156.09,8.57,184.50,1,696,1,840.5,1.8
157.10,9.72,184.18,1,696,1,856.6,1.8
158.12,9.42,177.66,1,696,1,874.1,1.8
159.13,9.08,178.74,1,696,1,852.1,1.8
160.15,8.53,184.55,1,696,1,824.6,1.8
161.16,14.19,177.72,1,696,1,836.5,1.8
162.16,8.96,179.94,1,696,1,851.2,1.8
163.17,7.87,183.59,1,696,1,834.1,1.8
164.18,9.41,184.54,1,696,1,850.0,1.8
165.19,10.43,176.44,1,696,1,829.4,1.8
166.20,6.93,181.06,1,696,1,823.8,1.8
167.22,10.49,184.76,1,696,1,869.7,1.8
168.23,7.44,184.92,1,696,1,871.0,1.9
169.23,8.00,184.57,1,696,1,838.8,1.8
170.25,7.95,181.61,1,696,1,873.3,1.8
171.26,10.39,177.26,1,696,1,839.7,1.8
172.26,6.93,181.46,1,696,1,840.5,1.8
173.27,8.17,185.38,1,696,1,842.2,1.8
174.28,10.72,186.16,1,696,1,823.2,1.8
175.29,9.07,182.60,1,696,1,821.8,1.8
176.31,13.36,185.08,1,696,1,797.0,1.8
